Module,Function,Parameter,Runtime (s),Samples,Consumption (Î¼J)
prime_calculation,main,4000000,18.605741522000244,247,12752296.719936667
prime_calculation,main,4000000,19.136011814000085,253,12834427.947329285
prime_calculation,main,4000000,18.635928609000985,250,13532550.76730928
prime_calculation,main,4000000,18.5917572569997,248,13080016.401974568
prime_calculation,main,4000000,18.500640955000563,247,12502789.99480386
prime_calculation,main,4000000,18.37788942899897,244,12578524.31610586
concurrent_load_balancer,start,,13.97630260400183,182,87839899.41789947
concurrent_load_balancer,start,,13.521084256004542,176,89115083.59246545
concurrent_load_balancer,start,,13.175795487994037,169,91287016.38267276
concurrent_load_balancer,start,,13.331341258002794,174,96481613.20996544
concurrent_load_balancer,start,,15.23008977399877,199,89374785.03384563
concurrent_load_balancer,start,,14.436201899996377,189,85907913.60112558
concurrent_load_balancer,start,,13.882050209998852,177,92733634.30727208
concurrent_load_balancer,start,,15.531902964998153,197,85653920.87537664
concurrent_load_balancer,start,,15.117198186002497,191,91006544.1796848
concurrent_load_balancer,start,,17.786939170997357,223,86927123.66372584
